title,reference,identified through database searching,source,study year,screened,full text screened,relevant intervention,low- or middle-income country,RCT,includes children under 5,authors contacted,authors responded ,mortality data collected,mortality data still available,include
The effects of Salvia miltiorrhiza and ligustrazine injection combined with ACEI/ARB on diabetic kidney disease: A systematic review and meta-analysis,,1,New addition,2024,1,0,0,,,,,,,,
"The efficacy of Bifidobacterium quadruple viable tablet in the treatment of diarrhea predominant irritable bowel syndrome: protocol for a randomized, double-blind, placebo-controlled, multicenter trial",,1,New addition,2020,1,0,0,,,,,,,,
The estimated contamination rate of reproccessed gastroscopes: A systematic review and meta-analysis,,1,New addition,2020,1,0,0,,,,,,,,
The excretion rate and stability of HAAg in human fecal samples after live attenuated hepatitis A vaccination,,1,New addition,2020,1,0,0,,,,,,,,
The impact of daily supplementation with rhamnogalacturonan-I on the gut microbiota in healthy adults: A randomized controlled trial.,,1,New addition,2024,1,0,0,,,,,,,,
The Impact of Dietary Interventions on the Microbiota in Inflammatory Bowel Disease: A Systematic Review,,1,New addition,2024,1,0,0,,,,,,,,
The impact of management on the fecal microbiome of endangered greater sage-grouse (Centrocercus urophasianus) in a zoo-based conservation program,,1,New addition,2024,1,0,0,,,,,,,,
The importance of understanding the stages of covid-19 in treatment and trials,,1,New addition,2021,1,0,0,,,,,,,,
Dissemination of carbapenemase-producing Enterobacterales through wastewater and gulls at a wastewater treatment plant in Sweden,,1,New addition,2023,1,0,0,,,,,,,,
Distribution and drug resistance of pathogens in burn patients in China from 2006 to 2019,,1,New addition,2021,1,0,0,,,,,,,,
"Distribution of Opisthorchis viverrini metacercariae and cyprinoid fish abundance in Nong Han Wetland, Thailand",,1,New addition,2025,1,0,0,,,,,,,,
Do gut microbiome-targeted therapies improve liver function in cirrhotic patients? A systematic review and meta-analysis,,1,New addition,2023,1,0,0,,,,,,,,
Does rifaximin offer any promise in Crohn's disease in remission and concurrent irritable bowel syndrome-like symptoms?,,1,New addition,2021,1,0,0,,,,,,,,
Does suboptimal household flooring increase the risk of diarrhoea and intestinal parasite infection in low and middle income endemic settings? A systematic review and meta-analysis protocol,,1,New addition,2020,1,0,0,,,,,,,,
"Dose effect of bovine lactoferrin fortification on diarrhea and respiratory tract infections in weaned infants with anemia: A randomized, controlled trial.",,1,New addition,2021,1,0,0,,,,,,,,
Environmental and Occupational Health Exposures and Outcomes of Informal Street Food Vendors in South Africa: A Quasi-Systematic Review,,1,New addition,2022,1,0,0,,,,,,,,
Environmental DNA clarifies impacts of combined sewer overflows on the bacteriology of an urban river and resulting risks to public health,,1,New addition,2023,1,0,0,,,,,,,,
Epidemiology of community-acquired and recurrent Clostridioides difficile infection,,1,New addition,2021,1,0,0,,,,,,,,
Epidemiology of intestinal helminthiases in a rural community of Ethiopia: is it time to expand control programs to include strongyloides stercoralis and the entire community?,,1,New addition,2020,1,0,0,,,,,,,,
"Equine non-septic tenosynovitis: A systematic literature review of site-specific pathological lesions, outcomes and surgical complications",,1,New addition,2024,1,0,0,,,,,,,,
Eradication rates of Helicobacter pylori in treatment-naive patients following 14-day vonoprazan-amoxicillin dual therapy: A multicenter randomized controlled trial in China.,,1,New addition,2023,1,0,0,,,,,,,,
ESPEN guideline on Clinical Nutrition in inflammatory bowel disease,,1,New addition,2023,1,0,0,,,,,,,,
"Estimation of physicochemical characteristics and associated metal contamination risk in the Narmada river, India",,1,New addition,2021,1,0,0,,,,,,,,
Evaluating impacts of improved flooring on enteric and parasitic infections in rural households in Kenya: study protocol for a cluster-randomised controlled trial,,1,New addition,2025,1,0,0,,,,,,,,
Evaluating of the environmental risks of natural water sources in the Alkalaa municipal community area - South Lebanon,,1,New addition,2024,1,0,0,,,,,,,,
Evaluating Wastewater Quality Parameters as an Alternative or Complement to Molecular Indicators for Normalization during SARS-CoV-2 Wastewater-Based Epidemiology,,1,New addition,2024,1,0,0,,,,,,,,
Evaluation of drain insertion after appendicectomy for complicated appendicitis: A systematic review and meta-analysis of 17 studies,,1,New addition,2022,1,0,0,,,,,,,,
Evaluation of pathogen spread risk from excavated landfill,,1,New addition,2024,1,0,0,,,,,,,,
Evaluation of the Application Effect of a New Anti-reflux Water Injection Tube Device in the Prevention of the Contamination of Endoscopy Water Injection Bottles.,,1,New addition,2023,1,0,0,,,,,,,,
Evaluation of the efficacy of Thymus kotschyanus extract as an additive treatment in patients with ulcerative colitis: a randomized double-blind placebo-controlled trial.,,1,New addition,2022,1,0,0,,,,,,,,
Evaluation of the health risks linked to two swimming pools regularly frequented from the city of Yaounde in Cameroon (Central Africa),,1,New addition,2021,1,0,0,,,,,,,,
Evaluation of Water Quality Index Using Machine Learning Approach,,1,New addition,2023,1,0,0,,,,,,,,
Evidence for a Modulatory Effect of a 12-Week Pomegranate Juice Intervention on the Transcriptional Response in Inflammatory Bowel Disease Patients Reducing Fecal Calprotectin Levels: Findings From a Proof-of-Principle Study.,,1,New addition,2025,1,0,0,,,,,,,,
Evidence-based clinical practice guidelines for irritable bowel syndrome 2020,,1,New addition,2021,1,0,0,,,,,,,,
Managing dental unit waterlines: a quality improvement programme,,1,New addition,2022,1,0,0,,,,,,,,
Maternal antibiotic prophylaxis during cesarean section has a limited impact on the infant gut microbiome.,,1,New addition,2024,1,0,0,,,,,,,,
Maternal Bacterial Engraftment in Multiple Body Sites of Cesarean Section Born Neonates after Vaginal Seeding-a Randomized Controlled Trial.,,1,New addition,2023,1,0,0,,,,,,,,
Mediterranean diet intervention in overweight and obese subjects lowers plasma cholesterol and causes changes in the gut microbiome and metabolome independently of energy intake.,,1,New addition,2020,1,0,0,,,,,,,,
Meta-analysis of the efficacy of probiotics to treat diarrhea,,1,New addition,2022,1,0,0,,,,,,,,
"Metabolic, pharmacokinetic, and toxicological issues of biologic therapies currently used in the treatment of hidradenitis suppurativa",,1,New addition,2020,1,0,0,,,,,,,,
Methodological challenges in neonatal microbiome research,,1,New addition,2023,1,0,0,,,,,,,,
Microbial analysis and antimicrobial resistance screening of drinking water in the Qassim Region of Saudi Arabia via mass spectrometry technology,,1,New addition,2025,1,0,0,,,,,,,,
"Microbial community and fish diseases in African lakes, the case northern Delta lakes, Egypt",,1,New addition,2023,1,0,0,,,,,,,,
MODIFYING THE RISK OF ASCENDING UTERINE CAVITY INFECTION DURING GYNECOLOGICAL PROCEDURES,,1,New addition,2022,1,0,0,,,,,,,,
Molecular characterization of plasmids encoding blaCTX-M from faecal Escherichia coli in travellers returning to the UK from South Asia,,1,New addition,2021,1,0,0,,,,,,,,
Molecular epidemiology of astrovirus in children with gastroenteritis in southwestern Nigeria,,1,New addition,2020,1,0,0,,,,,,,,
Molluscs—A ticking microbial bomb,,1,New addition,2023,1,0,0,,,,,,,,
Monitoring waves of the COVID-19 pandemic: Inferences from WWTPs of different sizes,,1,New addition,2021,1,0,0,,,,,,,,
"Monsoon dilutes the concurrence but increases the correlation of viruses and Pharmaceuticals and Personal Care Products (PPCPs) in the urban waters of Guwahati, India: The context of pandemic viruses",,1,New addition,2022,1,0,0,,,,,,,,
Probiotics and dietary intervention modulate the colonic mucosa-associated microbiota in high-fat diet populations,,1,New addition,2020,1,0,0,,,,,,,,
Probiotics and Functional Gastrointestinal Disorders in Pediatric Age: A Narrative Review,,1,New addition,2022,1,0,0,,,,,,,,
Probiotics and Prebiotics Intervention in Respiratory and Digestive Infections Linked to Covid-19,,1,New addition,2025,1,0,0,,,,,,,,
"Probiotics combined with atorvastatin administration in the treatment of hyperlipidemia: A randomized, double-blind, placebo-controlled clinical trial.",,1,New addition,2024,1,0,0,,,,,,,,
"Probiotics for intestinal decolonization of ESBL-producing Enterobacteriaceae: a randomized, placebo-controlled clinical trial",,1,New addition,2020,1,0,0,,,,,,,,
Probiotics for the prevention of antibiotic-associated diarrhoea: A systematic review and meta-analysis,,1,New addition,2021,1,0,0,,,,,,,,
Probiotics for the treatment of depression and its comorbidities: A systemic review,,1,New addition,2023,1,0,0,,,,,,,,
Probiotics in Gastrointestinal Diseases: All that Glitters Is Not Gold,,1,New addition,2022,1,0,0,,,,,,,,
Probiotics may alleviate intestinal damage induced by cardiopulmonary bypass in children.,,1,New addition,2024,1,0,0,,,,,,,,
Probiotics modulate gastrointestinal microbiota after Helicobacter pylori eradication: A multicenter randomized double-blind placebo-controlled trial.,,1,New addition,2022,1,0,0,,,,,,,,
Procalcitonin-guided early cessation of antibiotics prevents gut inflammation and preserves gut microbiome: Data from the PROGRESS controlled trial.,,1,New addition,2025,1,0,0,,,,,,,,
Promising clinical and immunological efficacy of Bacillus clausii spore probiotics for supportive treatment of persistent diarrhea in children.,,1,New addition,2024,1,0,0,,,,,,,,
Prophylaxis of Crohn's disease recurrence: A surgeon’s perspective,,1,New addition,2020,1,0,0,,,,,,,,
Proposal of a pathway for enteric virus groups detection as indicators of faecal contamination to enhance the evaluation of microbiological quality in freshwater in Argentina,,1,New addition,2021,1,0,0,,,,,,,,
"Prospective cohort study of child mouthing of faeces and fomites in Dhaka, Bangladesh (CHoBI7 Program)",,1,New addition,2020,1,0,0,,,,,,,,
PROSPECTIVE RANDOMIZED TRIAL OF TWO ANTISEPTIC SOLUTIONS FOR PREVENTION OF CENTRAL VENOUS CATHETER COLONIZATION AND INFECTION IN END STAGE RENAL DISEASE PATIENTS,,1,New addition,2023,1,0,0,,,,,,,,
Prostate high dose-rate brachytherapy as monotherapy for low and intermediate risk prostate cancer: Efficacy results from a randomized phase II clinical trial of one fraction of 19 Gy or two fractions of 13.5 Gy,,1,New addition,2020,1,0,0,,,,,,,,
Protection of chickens against hepatitis-hydropericardium syndrome and Newcastle disease with a recombinant Newcastle disease virus vaccine expressing the fowl adenovirus serotype 4 fiber-2 protein,,1,New addition,2020,1,0,0,,,,,,,,
Protective effects of butyrate on cerebral ischaemic injury in animal models: a systematic review and meta-analysis,,1,New addition,2024,1,0,0,,,,,,,,
"Protocol of efficacy of bifidobacteria intake on gastrointestinal symptoms in symptomatic type 2 diabetes mellitus patients in abdominis: an open-label, randomized controlled trial (Binary STAR study)",,1,New addition,2024,1,0,0,,,,,,,,
"Proximate composition, microbial quality and heavy metal concentration of fresh Nile tilapia fillet in Lake Tana, Ethiopia",,1,New addition,2024,1,0,0,,,,,,,,
Psychological comorbidity in gastrointestinal diseases: Update on the brain-gut-microbiome axis,,1,New addition,2021,1,0,0,,,,,,,,
Quality of life improvement and stool Bifidobacterium sp. enhancement in adults with inflammatory bowel disease treated by probiotic product: A systematic review and meta-analysis,,1,New addition,2021,1,0,0,,,,,,,,
Quantitative microbial human exposure model for faecal indicator bacteria and risk assessment of pathogenic Escherichia coli in surface runoff following application of dairy cattle slurry and co-digestate to grassland,,1,New addition,2021,1,0,0,,,,,,,,
Quantitative microbial risk assessment of outdoor aerosolized pathogens in cities with poor sanitation,,1,New addition,2022,1,0,0,,,,,,,,
Quantitative microbial risk assessment of the gastrointestinal risks to swimmers at Southeast Asian urban beaches using site-specific and combined autochthonous and fecal bacteria exposure data,,1,New addition,2023,1,0,0,,,,,,,,
Randomised controlled trials in child and adolescent health in 2023,,1,New addition,2023,1,0,0,,,,,,,,
Randomized Controlled Trial of Oral Vancomycin Treatment in Clostridioides difficile-Colonized Patients.,,1,New addition,2021,1,0,0,,,,,,,,
Randomized Controlled-Feeding Study of Dietary Emulsifier Carboxymethylcellulose Reveals Detrimental Impacts on the Gut Microbiota and Metabolome.,,1,New addition,2022,1,0,0,,,,,,,,
Randomized Pilot Study: Anal Inserts Versus Percutaneous Tibial Nerve Stimulation in Patients With Fecal Incontinence.,,1,New addition,2021,1,0,0,,,,,,,,
Randomized Placebo-Controlled Trial of Reloxaliase in Enteric Hyperoxaluria.,,1,New addition,2022,1,0,0,,,,,,,,
"Randomized, Placebo-Controlled Trial of Rifaximin Therapy for Lowering Gut-Derived Cardiovascular Toxins and Inflammation in CKD.",,1,New addition,2020,1,0,0,,,,,,,,
Rapid and extensive SARS-CoV-2 Omicron variant infection wave revealed by wastewater surveillance in Shenzhen following the lifting of a strict COVID-19 strategy,,1,New addition,2024,1,0,0,,,,,,,,
Rapid Diagnostics to Enhance Therapy Selection for the Treatment of Bacterial Infections,,1,New addition,2023,1,0,0,,,,,,,,
Rationale and study protocol for a randomized controlled feeding study to determine the structural- and functional-level effects of diet-specific interventions on the gut microbiota of non-Hispanic black and white adults,,1,New addition,2022,1,0,0,,,,,,,,
Recent advances in therapeutic probiotics: insights from human trials,,1,New addition,2025,1,0,0,,,,,,,,
Recommendations and guidelines for the treatment of Clostridioides difficile infection in Taiwan,,1,New addition,2020,1,0,0,,,,,,,,
Screening and topical decolonization of preoperative nasal Staphylococcus aureus carriers to reduce the incidence of postoperative infections after lung cancer surgery: A propensity matched study,,1,New addition,2021,1,0,0,,,,,,,,
Screening for Colorectal Cancer: Updated Evidence Report and Systematic Review for the US Preventive Services Task Force,,1,New addition,2021,1,0,0,,,,,,,,
Screening for Helicobacter pylori to Prevent Gastric Cancer: A Pragmatic Randomized Clinical Trial,,1,New addition,2024,1,0,0,,,,,,,,
Seasonal and spatial occurrence of zoonotic Salmonella serotypes in griffon vultures at farmland environments: Implications in pathogen pollution and ecosystem services and disservices,,1,New addition,2021,1,0,0,,,,,,,,
Seasonal variation of quantitative microbial risk assessment for three airborne enteric bacteria from wastewater treatment plant emissions,,1,New addition,2022,1,0,0,,,,,,,,
"Second-line levofloxacin-based quadruple therapy versus bismuth-based quadruple therapy for Helicobacter pylori eradication and long-term changes to the gut microbiota and antibiotic resistome: a multicentre, open-label, randomised controlled trial.",,1,New addition,2023,1,0,0,,,,,,,,
Selective decontamination of the digestive tract in burn patients: A systematic review with meta-analysis,,1,New addition,2025,1,0,0,,,,,,,,
Pathways in the Pathophysiology of Coronavirus 19 Lung Disease Accessible to Prevention and Treatment,,1,New addition,2020,1,0,0,,,,,,,,
Patient Experiences with Clostridioides difficile Infection and Its Treatment: A Systematic Literature Review,,1,New addition,2023,1,0,0,,,,,,,,
Pediatric digestive health and the gut microbiome: Existing therapies and a look to the future,,1,New addition,2021,1,0,0,,,,,,,,
"Persistence of SARS-CoV-2 RNA in the nasopharyngeal, blood, urine, and stool samples of patients with COVID-19: a hospital-based longitudinal study",,1,New addition,2021,1,0,0,,,,,,,,
pH-responsive calcium and phosphate-ion releasing antibacterial sealants on carious enamel lesions in vitro,,1,New addition,2020,1,0,0,,,,,,,,
"Pharmacodynamic Effects of Topical Omiganan in Patients With Mild to Moderate Atopic Dermatitis in a Randomized, Placebo-Controlled, Phase II Trial.",,1,New addition,2020,1,0,0,,,,,,,,
Pharmacokinetics and Clinical Implications of Oral Semaglutide for Type 2 Diabetes Mellitus,,1,New addition,2021,1,0,0,,,,,,,,
"Pharmacokinetics and safety of EVER206, a novel polymyxin antimicrobial, in healthy Chinese subjects.",,1,New addition,2024,1,0,0,,,,,,,,
Plasma and fecal zonulin are not altered by a high green leafy vegetable dietary intervention: secondary analysis of a randomized control crossover trial,,1,New addition,2022,1,0,0,,,,,,,,
Population Pharmacokinetic Evaluation of Amikacin Liposome Inhalation Suspension in Patients with Treatment-Refractory Nontuberculous Mycobacterial Lung Disease.,,1,New addition,2021,1,0,0,,,,,,,,
Possible Role of Tauroursodeoxycholic Acid (TUDCA) and Antibiotic Administration in Modulating Human Gut Microbiota in Home Enteral Nutrition Therapy for the Elderly: A Case Report,,1,New addition,2024,1,0,0,,,,,,,,
Post hoc analysis of fecal samples from responders and non-responders to Lactobacillus reuteri DSM 17938 intervention.,,1,New addition,2020,1,0,0,,,,,,,,
"Postoperative Crohn's disease recurrence: Unanswered questions and future directions in diagnosis, pathophysiology, prevention and treatment. Conclusions from the 8th ECCO Scientific workshop",,1,New addition,2023,1,0,0,,,,,,,,
"Potential pathogenic microorganisms in rural wastewater treatment process: Succession characteristics, concentration variation, source exploration, and risk assessment",,1,New addition,2024,1,0,0,,,,,,,,
Potential SARS-CoV-2 contamination of groundwater as a result of mass burial: A mini-review,,1,New addition,2022,1,0,0,,,,,,,,
PPAR agonists for the treatment of primary biliary cholangitis: Old and new tales,,1,New addition,2023,1,0,0,,,,,,,,
"Practical Use of Fecal Microbiota Spores, Live BRPK for the Prevention of Recurrent Clostridioides difficile Infection",,1,New addition,2023,1,0,0,,,,,,,,
Practice Summary of Antimicrobial Therapy for Commonly Encountered Conditions in the Neonatal Intensive Care Unit: A Canadian Perspective,,1,New addition,2022,1,0,0,,,,,,,,
Prebiotics for induction and maintenance of remission in ulcerative colitis,,1,New addition,2024,1,0,0,,,,,,,,
"Predicting Fecal Indicator Bacteria Using Spatial Stream Network Models in A Mixed-Land-Use Suburban Watershed in New Jersey, USA",,1,New addition,2023,1,0,0,,,,,,,,
Predicting Fecal-Indicator Organisms in Coastal Waters Using a Complex Nonlinear Artificial Intelligence Model,,1,New addition,2023,1,0,0,,,,,,,,
Predictors of oral rotavirus vaccine immunogenicity in rural Zimbabwean infants,,1,New addition,2020,1,0,0,,,,,,,,
Pregnant women who develop preeclampsia have lower abundance of the butyrate-producer Coprococcus in their gut microbiota.,,1,New addition,2021,1,0,0,,,,,,,,
Preoperative combined mechanical and oral antibiotic bowel preparation for preventing complications in elective colorectal surgery,,1,New addition,2023,1,0,0,,,,,,,,
Preprocedural mouth rinses for preventing transmission of infectious diseases through aerosols in dental healthcare providers,,1,New addition,2022,1,0,0,,,,,,,,
"Prevalence of Antibiotic-Resistant Bacteria in Domestic Water Storage Tanks in Sidon, Lebanon",,1,New addition,2023,1,0,0,,,,,,,,
"Prevalence of Comorbid Factors in Patients With Recurrent Clostridioides difficile Infection in ECOSPOR III, a Randomized Trial of an Oral Microbiota-Based Therapeutic.",,1,New addition,2023,1,0,0,,,,,,,,
"Prevalence of emerging torque teno virus (TTV) in drinking water, natural waters and wastewater networks (DWNWWS): A systematic review and meta-analysis of the viral pollution marker of faecal and anthropocentric contaminations",,1,New addition,2021,1,0,0,,,,,,,,
Prevalence of Escherichia coli O157: H7 and associated factors in under-five children in Eastern Ethiopia,,1,New addition,2021,1,0,0,,,,,,,,
Prevalence of opportunistic intestinal parasitic infections among hiv/aids patients before and after commencement of antiretroviral treatment at felege hiwot referral hospital: a follow-up study,,1,New addition,2021,1,0,0,,,,,,,,
"Prevalence, transmission and genomic epidemiology of mcr-1-positive colistin-resistant Escherichia coli strains isolated from international airplane waste, local resident fecal and wastewater treatment plants",,1,New addition,2024,1,0,0,,,,,,,,
Preventing sepsis development in complicated urinary tract infections,,1,New addition,2020,1,0,0,,,,,,,,
"Prevention of acute radiation-induced Proctitis by Aloe vera: a prospective randomized, double-blind, placebo controlled clinical trial in Pelvic Cancer patients.",,1,New addition,2020,1,0,0,,,,,,,,
Prevention of ventilator-associated pneumonia by a nose care program combining with oral care among patients hospitalized in intensive care units: a single-blind randomized controlled trial,,1,New addition,2024,1,0,0,,,,,,,,
Probabilistic fecal pollution source profiling and microbial source tracking for an urban river catchment,,1,New addition,2023,1,0,0,,,,,,,,
"Probiotic for pathogen-specific Staphylococcus aureus decolonisation in Thailand: a phase 2, double-blind, randomised, placebo-controlled trial.",,1,New addition,2023,1,0,0,,,,,,,,
Probiotic formulations and gastro-intestinal diseases in the paediatric population: A narrative review,,1,New addition,2024,1,0,0,,,,,,,,
"Probiotic improves symptomatic and viral clearance in Covid19 outpatients: a randomized, quadruple-blinded, placebo-controlled trial.",,1,New addition,2022,1,0,0,,,,,,,,
Probiotic therapy for periodontal and peri-implant health – silver bullet or sham?,,1,New addition,2021,1,0,0,,,,,,,,
Probiotic treatment in an intensive care unit: a narrative review,,1,New addition,2025,1,0,0,,,,,,,,
"Impact of treatment plant management on human health and ecological risks from wastewater irrigation in developing countries–case studies from Cochabamba, Bolivia",,1,New addition,2021,1,0,0,,,,,,,,
Impact of waste treatment through genetic modification and reuse of treated water on human health,,1,New addition,2023,1,0,0,,,,,,,,
"Impact of wheat aleurone on biomarkers of cardiovascular disease, gut microbiota and metabolites in adults with high body mass index: a double-blind, placebo-controlled, randomized clinical trial.",,1,New addition,2022,1,0,0,,,,,,,,
Implementation of quantitative microbial risk assessment (QMRA) for public drinking water supplies: Systematic review,,1,New addition,2020,1,0,0,,,,,,,,
Implications of irrigation water quality on shallow groundwater in the Nile Delta of Egypt: A human health risk prospective,,1,New addition,2021,1,0,0,,,,,,,,
Importance of the hospital environment in the transmission of infections by multidrug-resistant microorganisms: A systematic review of literature,,1,New addition,2021,1,0,0,,,,,,,,
"Imprints of pandemic lockdown on subsurface water quality in the coastal industrial city of Tuticorin, South India: A revival perspective",,1,New addition,2020,1,0,0,,,,,,,,
Improvement in Patient-Reported Outcomes With Intensity-Modulated Radiotherapy (RT) Compared With Standard RT: A Report From the NRG Oncology RTOG 1203 Study.,,1,New addition,2020,1,0,0,,,,,,,,
Improvement of Post-Surgery Constipation in Patients with Fractures by Lactobacillus rhamnosus JYLR-127: A Single-Blind Randomized Controlled Trial.,,1,New addition,2024,1,0,0,,,,,,,,
"Improvement of skin condition and intestinal microbiota via Heyndrickxia coagulans SANK70258 intake: a placebo-controlled, randomized, double-blind, parallel-group comparative study",,1,New addition,2024,1,0,0,,,,,,,,
"Improving gut health and growth in early life: a protocol for an individually randomised, two-arm, open-label, controlled trial of a synbiotic in infants in Kaffrine District, Senegal",,1,New addition,2024,1,0,0,,,,,,,,
Inactivation of indicator organisms on different surfaces after urban floods,,1,New addition,2020,1,0,0,,,,,,,,
Inclusion of hydrodynamic properties of bathing waters is critical in selecting faecal indicators to assess public health impacts of faecal contamination,,1,New addition,2023,1,0,0,,,,,,,,
Inconvenient truth: Unsafely managed fecal sludge after achieving MDG for decades in Thailand,,1,New addition,2021,1,0,0,,,,,,,,
Incorporating incubation period distributions to precisely estimate the association between rainfall and Legionella infection,,1,New addition,2025,1,0,0,,,,,,,,
"Increased versus conventional adalimumab dose interval for patients with Crohn's disease in stable remission (LADI): a pragmatic, open-label, non-inferiority, randomised controlled trial.",,1,New addition,2023,1,0,0,,,,,,,,
Increasing incidence of inflammatory bowel disease in children and adolescents: Significance of environmental factors,,1,New addition,2020,1,0,0,,,,,,,,
Indigo naturalis is effective even in treatment-refractory patients with ulcerative colitis: a post hoc analysis from the INDIGO study,,1,New addition,2020,1,0,0,,,,,,,,
Inflammatory bowel disease and biomarkers of gut inflammation and permeability in a community with high exposure to perfluoroalkyl substances through drinking water,,1,New addition,2020,1,0,0,,,,,,,,
Influence of Physiographic Region on Pathogen Concentrations Between Stream Types,,1,New addition,2024,1,0,0,,,,,,,,
Innovative multistage constructed wetland for municipal wastewater treatment and reuse for agriculture in Senegal,,1,New addition,2020,1,0,0,,,,,,,,
"Intensive drug therapy versus standard drug therapy for symptomatic intestinal Crohn's disease strictures (STRIDENT): an open-label, single-centre, randomised controlled trial.",,1,New addition,2022,1,0,0,,,,,,,,
Interactions between Mediterranean Diet Supplemented with Dairy Foods and the Gut Microbiota Influence Cardiovascular Health in an Australian Population.,,1,New addition,2023,1,0,0,,,,,,,,
Interventions for High Body Mass Index in Children and Adolescents: US Preventive Services Task Force Recommendation Statement,,1,New addition,2024,1,0,0,,,,,,,,
Interventions for preventing postpartum constipation,,1,New addition,2020,1,0,0,,,,,,,,
Interventions for the eradication of meticillin-resistant Staphylococcus aureus (MRSA) in people with cystic fibrosis,,1,New addition,2022,1,0,0,,,,,,,,
Interventions for treating distal intestinal obstruction syndrome (DIOS) in cystic fibrosis,,1,New addition,2021,1,0,0,,,,,,,,
Interventions to reduce contaminated aerosols produced during dental procedures for preventing infectious diseases: A cochrane review,,1,New addition,2020,1,0,0,,,,,,,,
Intestinal Microbial Composition of Children in a Randomized Controlled Trial of Probiotics to Treat Acute Gastroenteritis.,,1,New addition,2022,1,0,0,,,,,,,,
"Intestinal Permeability in Children with Celiac Disease after the Administration of Oligofructose-Enriched Inulin into a Gluten-Free Diet-Results of a Randomized, Placebo-Controlled, Pilot Trial.",,1,New addition,2020,1,0,0,,,,,,,,
"Inulin-type prebiotics reduce serum uric acid levels via gut microbiota modulation: a randomized, controlled crossover trial in peritoneal dialysis patients.",,1,New addition,2022,1,0,0,,,,,,,,
"INVESTIGATION OF THE RELATIONSHIP BETWEEN WASTEWATER IRRIGATION AND TYPHOID INCIDENCE (20082019) IN MEKNES, MOROCCO: ENVIRONMENTAL AND HEALTH OUTCOMES",,1,New addition,2024,1,0,0,,,,,,,,
Irritable bowel syndrome,,1,New addition,2020,1,0,0,,,,,,,,
Is coverage of S. aureus necessary in cellulitis/erysipelas? A literature review,,1,New addition,2020,1,0,0,,,,,,,,
"Is Tailored Bismuth Quadruple Therapies (With Clarithromycin or Furazolidone) Based on Fecal Molecular Susceptibility Testing in First-Line Helicobacter pylori Eradication Treatment More Effective? A Three-Arm, Multicenter Randomized Clinical Trial.",,1,New addition,2025,1,0,0,,,,,,,,
Is vedolizumab the answer to decreasing the incidence of immune-mediated colitis in patients with pre-existing inflammatory bowel disease?,,1,New addition,2020,1,0,0,,,,,,,,
Isolation and characterization of lytic bacteriophages from various sources in Addis Ababa against antimicrobial-resistant diarrheagenic Escherichia coli strains and evaluation of their therapeutic potential,,1,New addition,2024,1,0,0,,,,,,,,
"Isolation, Molecular Characterization and Geoprocessing of Enteropathogenic, Enterotoxigenic, and Shiga Toxin-Producing Escherichia coli in Drinking Water Sources from Southeast Brazil",,1,New addition,2020,1,0,0,,,,,,,,
Lactobacillus rhamnosus CNCM I-3690 decreases subjective academic stress in healthy adults: a randomized placebo-controlled trial.,,1,New addition,2022,1,0,0,,,,,,,,
Lactulose regulates gut microbiota dysbiosis and promotes short-chain fatty acids production in acute pancreatitis patients with intestinal dysfunction.,,1,New addition,2023,1,0,0,,,,,,,,
Large-scale assessment of the impacts of invasive wild pigs on water quality in freshwater streams,,1,New addition,2025,1,0,0,,,,,,,,
"Leptospirosis in India: a systematic review and meta-analysis of clinical profile, treatment and outcomes",,1,New addition,2023,1,0,0,,,,,,,,
Licorice and liver function in patients with primary liver disease: A systematic review and meta-analysis of RCTs,,1,New addition,2024,1,0,0,,,,,,,,
Limited effects of long-term daily cranberry consumption on the gut microbiome in a placebo-controlled study of women with recurrent urinary tract infections.,,1,New addition,2021,1,0,0,,,,,,,,
"Linking Human Milk Oligosaccharides, Infant Fecal Community Types, and Later Risk To Require Antibiotics",,1,New addition,2020,1,0,0,,,,,,,,
Linking the IL-17A immune response with NMR-based faecal metabolic profile in IBD patients treated with Mastiha.,,1,New addition,2021,1,0,0,,,,,,,,
"Long-Term Impact of Lumacaftor/Ivacaftor Treatment on Cystic Fibrosis Disease Progression in Children 2-5 Years of Age Homozygous for F508del-CFTR: A Phase 2, Open-Label Clinical Trial.",,1,New addition,2024,1,0,0,,,,,,,,
"Long-trm safety and tolerability of odevixibat, an ileal bile acid transporter inhibitor, in children with progressive familial intrahepatic cholestasis: results from the phase 3 PEDFIC 1 and PEDFIC 2 studies",,1,New addition,2021,1,0,0,,,,,,,,
Low-dose corticosteroid and mycophenolate for primary treatment of minimal change disease.,,1,New addition,2020,1,0,0,,,,,,,,
"Low-Fat, High-Fiber Diet Reduces Markers of Inflammation and Dysbiosis and Improves Quality of Life in Patients With Ulcerative Colitis.",,1,New addition,2021,1,0,0,,,,,,,,
Luminal microbiota related to Crohn's disease recurrence after surgery.,,1,New addition,2020,1,0,0,,,,,,,,
Malnutrition enteropathy in Zambian and Zimbabwean children with severe acute malnutrition: A multi-arm randomized phase II trial.,,1,New addition,2024,1,0,0,,,,,,,,
Management of liver and gastrointestinal toxicity induced by immune checkpoint inhibitors: Position statement of the AEEH-AEG-SEPD-SEOM-GETECCU,,1,New addition,2024,1,0,0,,,,,,,,
Microbial indicators for water quality in recirculating shower technology,,1,New addition,2025,1,0,0,,,,,,,,
